設置施設名,住　　所,X,Y,設置台数
健康センター(急病診療所・診察室内),猫実1-2-5,6107.4391,-38338.0345,1
浦安市運動公園体育館（舞浜）,舞浜2-27,4700.5927,-39912.4803,5
障害者福祉センター,東野1-8-2,6150.4659,-38849.6456,1
中央武道館,猫実1-18-15,6304.0252,-37984.4788,1
消防署（本署）,猫実1-19-22,6398.434372,-37996.44259,1
消防署（今川出張所）,今川4-11-1,6393.4106,-40008.0113,1
消防署（堀江出張所）,堀江4-18-6,5227.9157,-37739.1388,1
文化会館,猫実1-1-2,6168.2456,-38422.4915,2
市民プラザwave１０１,入船1-4-1,7385.5265,-38943.5466,1
市役所庁舎,猫実1-1-1,6252.4042,-38410.9966,1
新浦安駅前プラザ　マーレ,入船1-2-1,7282.43654,-38804.9928,1
市民活動センター,北栄1-1-16,5569.417,-37180.7511,1
議会棟,猫実1-1-1,6252.4042,-38408.9966,1
総合福祉センター,東野1-7-1,6107.5004,-38787.2607,1
特別養護老人ホーム,高洲9-3-1,7795.609295,-40937.71839,1
老人福祉センター,東野1-9-1,6027.364787,-38823.72575,1
健康センター,猫実1-2-5,6107.4391,-38336.0345,1
中央公民館,猫実4-18-1,5418.0349,-37334.773,1
堀江公民館,富士見2-2-1,5197.7221,-38435.1611,1
美浜公民館,美浜5-13-1,7452.55,-38351.5191,1
当代島公民館,当代島2-14-1,5142.1449,-36603.3166,1
富岡公民館,富岡3-1-7,6219.921774,-39751.38626,1
日の出公民館,日の出4-1-1,8191.9688,-39479.2639,1
中央図書館,猫実1-2-1,6218.9807,-38224.4185,1
健康センター（健康増進課）,猫実1-2-5,6107.4391,-38334.0345,1
市役所第２庁舎,猫実1-2-3,6178.8307,-38321.1592,1
集合事務所,猫実1-12-38,6362.5989,-38114.2005,1
浦安市斎場,千鳥15-3,5803.1857,-42311.658,1
郷土博物館,猫実1-2-7,6147.2351,-38246.0151,1
高洲海浜公園,高洲9-2,7939.023,-40816.0065,1
青少年交流活動ｾﾝﾀｰ（うら・らめーる）,日の出7-2-1,8873.3955,-40166.823,1
浦安小学校,猫実4-9-1,5508.0317,-37307.5037,1
南小学校,堀江5-4-1,5308.2143,-38269.3795,1
北部小学校,北栄3-20-1,6104.0065,-37069.6006,1
見明川小学校,弁天3-1-2,5646.7047,-40018.2933,1
富岡小学校,富岡1-1-1,6499.0952,-38966.4412,1
美浜南小学校,美浜3-15-1,6750.39,-38690.42,1
入船北小学校,入船5-45-1,7791.7807,-38381.2691,1
東小学校,猫実1-11-1,6265.0231,-38131.5875,1
入船南小学校,入船3-66-1,7205.802652,-39340.24752,1
舞浜小学校,舞浜2-1-1,4733.529,-39731.8292,1
美浜北小学校,美浜5-12-1,7398.6362,-38243.9196,1
日の出小学校,日の出3-1-1,8376.4677,-39124.6099,1
明海小学校,明海2-13-4,7625.9024,-39830.9429,1
高洲小学校,高洲4-2-1,7568.2643,-40414.1337,1
日の出南小学校,日の出5-4-4,8693.1425,-39650.0724,1
明海南小学校,明海5-5-1,8248.5908,-40034.68045,1
高洲北小学校,高洲2-2-1,7029.754849,-40056.49889,1
浦安中学校,海楽2-36-1,6675.1155,-37546.013,1
堀江中学校,富士見2-19-1,5072.8768,-38750.69335,1
見明川中学校,弁天3-1-1,5754.6239,-40126.7543,1
入船中学校,入船3-66-3,7284.3857,-39414.1865,1
富岡中学校,富岡1-23-1,6430.54,-38910.1272,1
美浜中学校,美浜5-12-2,7485.1836,-38137.4272,1
日の出中学校,日の出3-1-2,8467.6986,-39219.9671,1
明海中学校,明海5-5-1,8248.5908,-40032.68045,1
ビーナスプラザ,千鳥15-2,5986.020967,-42270.96307,1
浦安市交通公園,美浜2-15-1,6760.9886,-39033.4126,1
浦安市運動公園球技場,舞浜2-27,4700.5927,-39910.4803,1
浦安市中央公園球技場,富岡4-25,5934.5426,-39448.9333,1
浦安市高洲中央公園球技場,高洲4-1-1,7382.9968,-40341.8651,1
浦安市高洲太陽の丘公園テニスコート,高洲2-7-1,6799.7385,-40168.5022,1
北部小学校地区児童育成クラブ,北栄3-20-3,6033.441795,-37032.04933,1
北部小学校地区児童育成クラブ分室,北栄3-20-3,6033.441795,-37030.04933,1
南小学校地区児童育成クラブ,堀江5-4-1,5308.2143,-38267.3795,1
南小学校地区児童育成クラブ分室,堀江2-23-21,5355.441531,-38082.88477,1
見明川小学校地区児童育成クラブ,弁天3-1-2,5646.7047,-40016.2933,1
入船北小学校地区児童育成クラブ,入船6-9-2,7573.4352,-38822.0161,1
入船南小学校地区児童育成クラブ,入船3-66-1,7205.802652,-39338.24752,1
舞浜小学校地区児童育成クラブ,舞浜2-1-1,4733.529,-39729.8292,1
東小学校地区児童育成クラブ,猫実1-11-1,6265.0231,-38129.5875,1
東小学校地区児童育成クラブ北栄分室,北栄4-1-17,6475.196244,-37767.62372,1
日の出小学校地区児童育成クラブ,日の出2-11-10,8133.3034,-39074.9046,1
日の出南小学校地区児童育成クラブ,日の出5-4-3,8724.4139,-39724.8391,1
明海小学校地区児童育成クラブ,明海2-13-1,7738.2996,-39761.5851,1
明海南小学校地区児童育成クラブ,明海5-5-1,8248.5908,-40030.68045,1
浦安小学校地区児童育成クラブ,猫実4-9-1,5508.0317,-37305.5037,1
富岡小学校地区児童育成クラブ,富岡1-1-1,6499.0952,-38964.4412,1
東野小学校地区児童育成クラブ,東野1-7,6133.1192,-38744.8777,1
美浜南小学校地区児童育成クラブ,美浜3-15-1,6750.39,-38688.42,1
美浜北小学校地区児童育成クラブ,美浜5-12-1,7398.6362,-38241.9196,1
高洲小学校地区児童育成クラブ,高洲4-2-8,7642.5509,-40440.9855,1
高洲北小学校地区児童育成クラブ,高洲2-5-2,6882.5228,-40319.2751,1
浦安市立当代島保育園,当代島1-25-27,5090.5245,-36991.6383,1
浦安市立猫実保育園,北栄3-31-14,5874.2179,-37099.2472,1
浦安市立入船保育園,入船6-9-1,7545.897,-38837.531,1
浦安市立富岡保育園,富岡3-1-6,6257.5215,-39711.2661,1
浦安市立東野保育園,東野1-7-2,6109.8147,-38701.562,1
浦安市立日の出保育園,日の出2-11-1,8104.0796,-39031.9089,1
浦安市立高洲保育園,高洲2-3-4,6994.7588,-40122.6095,1
浦安市立海園の街保育園,明海3-2-12,7934.1264,-39969.7087,1
浦安市立弁天保育園,弁天1-1-28,5843.9086,-39605.1743,1
浦安市立浦安駅前保育園,猫実4-19-24,5345.647846,-37271.91762,1
浦安市立ふたば保育園,北栄4-1-16,6487.294807,-37739.11316,1
浦安市立入船北保育園,入船4-34-1,7877.2685,-38560.3345,1
浦安市立若草幼稚園,猫実4-6-12,5571.4415,-37280.0617,1
浦安市立青葉幼稚園,当代島3-12-1,5223.1028,-36406.1881,1
浦安市立みなみ幼稚園,堀江5-4-2,5317.6772,-38360.4366,1
浦安市立神明幼稚園,猫実1-18-43,6334.8216,-38011.6035,1
浦安市立北部幼稚園,北栄3-20-2,5996.3183,-37058.0225,1
浦安市立見明川幼稚園,弁天3-1-3,5551.6243,-40047.7371,1
浦安市立堀江幼稚園,堀江4-34-6,5159.6168,-37775.8256,1
浦安市立富岡幼稚園,富岡1-1-2,6369.8383,-39052.7496,1
浦安市立美浜南幼稚園,美浜3-15-2,6643.3187,-38692.553,1
浦安市立入船南幼稚園,入船3-66-2,7241.9545,-39216.1778,1
浦安市立舞浜幼稚園,舞浜2-1-2,4643.1333,-39814.6601,1
浦安市立美浜北幼稚園,美浜5-12-3,7393.7909,-38338.4383,1
浦安市立日の出幼稚園,日の出2-15-1,8308.9484,-39103.7684,1
浦安市立明海幼稚園,明海2-13-3,7670.7196,-39763.2747,1
浦安市総合公園,明海7-2,8557.143767,-40378.71073,2
墓地公園,日の出8-1-2,9230.9651,-39916.5708,1
旧宇田川邸,堀江3-4-18,5346.361,-37520.6989,1
東野プール,東野2-18-1,5630.8477,-39005.0044,1
墓地公園,日の出8-1-1,9126.876843,-39935.33507,1
高洲公民館,高洲5-3-2,7632.596217,-40315.37683,1
東野小学校,東野1-7-3,6156.508068,-38708.04729,1
適応指導教室,猫実2-1-1,5963.749752,-38123.73841,1
浦安駅前交番,北栄1-13-2,5372.9113,-37110.9929,1
富士見交番,富士見2-19-6,5142.5948,-38814.5794,1
新浦安駅前交番,入船1-2-1,7282.43654,-38802.9928,1
舞浜駅前交番,舞浜28-6,4360.5791,-40290.2251,1
日の出交番,日の出2-6-1,8103.279,-39000.1682,1
ワークステーション,千鳥15-5,5856.469,-42394.6406,1
富岡交番,富岡3-1-8,6196.632476,-39797.52389,1
明海サッカー場,明海2-1,7402.0952,-39544.013,1
高洲小学校地区児童育成クラブ分室,高洲4-2-1,7568.2643,-40412.1337,1
日の出小学校地区児童育成クラブ分室,日の出2-11-10,8133.3034,-39072.9046,1
ローソン　浦安北栄店,北栄4-20-1,6281.4194,-37705.6165,1
ローソン　新浦安駅前店,美浜1-9-2,7038.982,-38888.4122,1
ローソン　舞浜店,富士見3-23-5,4867.195,-39368.5631,1
ローソン　浦安見明川店,弁天3-2-97,5523.5272,-40483.0022,1
ローソン　浦安富士見店,富士見1-14-34,5197.0403,-38805.1902,1
ローソン　浦安入船店,入船2-3-2,6885.1769,-39158.6858,1
浦安市消防団　第一分団詰所,堀江2-1-1,5723.6362,-37830.4088,1
浦安市消防団　第二分団詰所,猫実4-18-15,5382.3898,-37274.044,1
浦安市消防団　第三分団詰所,当代島2-3-19,5319.5338,-36727.4646,1
浦安駅前行政サービスセンター,北栄1-13-25,5462.535,-37067.03745,1
新浦安駅前行政サービスセンター,入船1-2-1,7282.43654,-38800.9928,1
舞浜駅前行政サービスセンター,舞浜25-2,4604.3002,-40327.908,1
高洲中学校,高洲7-2-1,7712.0409,-40737.061,1
セブンイレブン　浦安当代島店,当代島3-4-1,5533.8493,-36511.2815,1
セブンイレブン　浦安駅南口店,北栄1-16-17,5429.0049,-37126.0901,1
