ID,名称,URL,X,Y
1,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00200001.pdf,5845.42,-42391.16
2,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00950001.pdf,5813.08,-42350.12
3,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/01130006.pdf,5947.6,-42219.77
4,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00830005.pdf,6012.26,-42269.92
5,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00830013.pdf,6017.38,-42287.81
6,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/01100002.pdf,5852.55,-41782.14
7,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030023.pdf,6363.12,-41834.86
8,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00910005.pdf,3577.2,-41059.18
9,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/01010001.pdf,5389.28,-41266.63
10,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030019.pdf,5952.58,-40889.3
11,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030020.pdf,6666.28,-41188.26
12,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00800005.pdf,7736.91,-40910.45
13,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00810003.pdf,7580.5,-40674.05
14,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00770001.pdf,5276.98,-40126.73
15,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00970002.pdf,5742.88,-40112.9
16,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030018.pdf,5843.18,-39953.82
17,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030022.pdf,4964.06,-40207.03
18,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00420002.pdf,7042.13,-40006.53
19,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00740001.pdf,6391.37,-39998.07
20,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00920001.pdf,6353.49,-40015.02
21,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/01020001.pdf,7014.76,-40159.78
22,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030015.pdf,6855.11,-40078.18
23,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00230002.pdf,8186.03,-40127.35
24,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00240037.pdf,7621.36,-39873.28
25,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030014.pdf,7556.19,-40462.32
26,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00300001.pdf,8990.8,-40050.96
27,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030011.pdf,8574.02,-40237.54
28,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00170001.pdf,4768.7,-39710.46
29,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030016.pdf,4784.7,-39319.14
30,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030021.pdf,4599.11,-39756.12
31,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00170003.pdf,4818.48,-39683.83
32,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00330001.pdf,5963.6,-39445.43
33,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030017.pdf,5268.36,-39722.35
34,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00310001.pdf,6171.26,-39779
35,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00320001.pdf,6237.89,-39709.43
36,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00340002.pdf,6423.93,-39002.96
37,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00360010.pdf,7183.17,-39288.44
38,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00750001.pdf,6692.47,-39534.26
39,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00920002.pdf,6704.29,-39741.98
40,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00920003.pdf,6822.97,-39620.25
41,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00920004.pdf,6996.74,-39424.97
42,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/01120001.pdf,6810.62,-39027.82
43,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030012.pdf,6407.73,-39164.17
44,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030013.pdf,6998.34,-39551.19
45,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00260001.pdf,8110.18,-39039.54
46,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00280001.pdf,8284.75,-39107.69
47,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00360003.pdf,7246.74,-39209.55
48,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00360006.pdf,7293.16,-39240.71
49,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/01050004.pdf,7282.61,-39408.06
50,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030010.pdf,7413.28,-39495.34
51,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/14030005.pdf,8131.24,-39062.76
52,ボーリング柱状図,http://gisjam.kkc.co.jp/aigsurayasu/Bor_PDF/00270004.pdf,8496.88,-39201.44
