名称,住所,X,Y,電話,備考
中央図書館,猫実一丁目2番1号,6218.9807,-38224.4185,047-352-4646,
堀江分館,富士見二丁目2番1号,5197.7221,-38435.1611,047-351-3097,
猫実分館（旧：中央公民館図書室）,猫実四丁目18番1号,5418.0349,-37334.773,047-351-2659,
富岡分館,富岡三丁目1番7号,6219.921774,-39751.38626,047-352-7180,
美浜分館,美浜五丁目13番1号,7452.55,-38351.5191,047-354-0009,
当代島分館,当代島二丁目14番1号,5142.1449,-36603.3166,047-382-1707,
日の出分館,日の出四丁目1番1号,8191.9688,-39479.2639,047-390-0606,
高洲分館,高洲五丁目3番2号,7632.596217,-40315.37683,047-304-0314,地域交流プラザエスレ高洲内
高洲公民館,高洲五丁目3番2号,7632.596217,-40313.37683,047-304-0313,地域交流プラザエスレ高洲内
中央公民館,猫実四丁目18番1号,5418.0349,-37332.773,047-351-2638,
堀江公民館,富士見二丁目2番1号,5197.7221,-38433.1611,047-353-0002,
富岡公民館,富岡三丁目1番7号,6219.921774,-39749.38626,047-354-2631,
美浜公民館,美浜五丁目13番1号,7452.55,-38349.5191,047-352-8811,
当代島公民館,当代島二丁目14番1号,5142.1449,-36601.3166,047-382-1700,
日の出公民館,日の出四丁目1番1号,8191.9688,-39477.2639,047-355-8831,
郷土博物館,猫実一丁目2番7号,6147.2351,-38246.0151,047-305-4300,
市民プラザWave101,入船一丁目4番1号,7385.5265,-38943.5466,047-350-3101,ショッパーズプラザ新浦安4階
文化会館,猫実一丁目1番2号,6168.2456,-38422.4915,047-353-1121,
旧大塚家住宅,堀江三丁目3番1号,5376.4873,-37537.6169,047-354-5846,
旧宇田川家住宅,堀江三丁目4番8号,5329.4994,-37527.6137,047-352-3881,
旧濱野医院,堀江三丁目1番8号,5509.3696,-37607.8532,047-351-2646,
総合体育館,舞浜2番地27,4700.5927,-39912.4803,047-355-1110,
中央武道館,猫実一丁目18番15号,6304.0252,-37984.4788,047-380-2100,
屋内水泳プール,舞浜2番地27,4700.5927,-39910.4803,047-304-0030,
東野プール,東野二丁目18番1号,5630.8477,-39005.0044,047-352-6891,
高洲太陽の丘公園高州テニスコート,高洲二丁目7番,6799.7385,-40168.5022,047-350-0485,
美浜運動公園テニスコート,入船五丁目46番,7621.3891,-38368.0327,,
高洲中央公園テニスコート,高洲四丁目1番,7382.9968,-40341.8651,047-353-7778,
中央公園テニスコート,富岡4丁目25番,5934.5426,-39448.9333,047-351-9242,
運動公園テニスコート,舞浜2番地27,4700.5927,-39908.4803,047-350-9829,
美浜テニスコート,美浜五丁目10番,7295.3665,-38362.5382,,
舞浜テニスコート ,舞浜ニ丁目1番,4016.51175,-41156.90298,,
運動公園野球場,舞浜2番地27,4700.5927,-39906.4803,047-350-9829,
中央公園野球場,富岡四丁目25番,5934.5426,-39446.9333,047-351-9242,
高洲中央公園少年野球場,高洲四丁目1番,7382.9968,-40339.8651,047-353-7778,
大三角公園少年野球場,舞浜三丁目37番,5313.5021,-40493.2631,,
美浜運動公園少年野球場,入船五丁目46番,7621.3891,-38366.0327,,
運動公園サッカー場,舞浜2番地27,4700.5927,-39904.4803,047-350-9829,
明海球技場,明海二丁目1番,7402.0952,-39544.013,047-350-8026,
総合公園球技場,明海七丁目2番,8557.143767,-40378.71073,047-353-2867,
今川球技場,今川三丁目12番,6532.5252,-40001.5359,,
運動公園スポーツコート,舞浜2番地27,4700.5927,-39902.4803,047-350-9829,
高洲海浜公園パークゴルフ場,高洲九丁目18番,7931.0453,-40823.8589,047-382-0382,
総合公園,明海七丁目2番,8557.143767,-40376.71073,,
弁天ふれあいの森公園,弁天四丁目13番,5242.2128,-40133.7526,,
日の出おひさま公園,日の出五丁目2番,8435.9227,-39584.2261,,
明海の丘公園,明海三丁目1番,7789.1658,-39920.4182,,
高洲海浜公園,高洲九丁目2番,7939.023,-40816.0065,,
日の出北公園,日の出三丁目2番,8519.2723,-39012.9094,,
交通公園,美浜二丁目15番1号,6760.9886,-39033.4126,047-351-4083,
美浜公園,美浜五丁目14番,7523.8847,-38299.2395,,
運動公園,舞浜2番地27 ,4700.5927,-39900.4803,球技場管理事務所　047-350-9829,
高洲太陽の丘公園,高洲二丁目7番,6799.7385,-40166.5022,,
美浜運動公園,入船五丁目46番,7621.3891,-38364.0327,,
高洲中央公園,高洲四丁目1番1号,7382.9968,-40337.8651,047-353-7778,
若潮公園,美浜二丁目15番,6814.924,-39022.96,,
中央公園,富岡四丁目25番,5934.5426,-39444.9333,047-351-9242,
海楽公園,海楽二丁目36番,6757.85585,-37679.8865,,
