名称,住所,X,Y,電話,備考
浦安小学校,猫実四丁目9番1号,5508.0317,-37307.5037,047-351-2362,
南小学校,堀江五丁目4番1号,5308.2143,-38269.3795,047-352-1802,
北部小学校,北栄三丁目20番1号,6104.0065,-37069.6006,047-351-0961,
見明川小学校,弁天三丁目1番2号,5646.7047,-40018.2933,047-352-6880,
富岡小学校,富岡一丁目1番1号,6499.0952,-38966.4412,047-353-2360,
美浜南小学校,美浜三丁目15番1号,6750.39,-38690.42,047-353-7770,
入船北小学校,入船五丁目45番1号,7791.7807,-38381.2691,047-353-7769,
東小学校,猫実一丁目11番1号,6265.0231,-38131.5875,047-353-8504,
入船南小学校,入船三丁目66番1号,7205.802652,-39340.24752,047-353-8503,
舞浜小学校,舞浜二丁目1番1号,4733.529,-39731.8292,047-353-0111,
美浜北小学校,美浜五丁目12番1号,7398.6362,-38243.9196,047-351-6444,
日の出小学校,日の出三丁目1番1号,8376.4677,-39124.6099,047-355-6300,
明海小学校,明海二丁目13番4号,7625.9024,-39830.9429,047-380-8600,
高洲小学校,高洲四丁目2番1号,7568.2643,-40414.1337,047-350-1536,
日の出南小学校,日の出五丁目4番4号,8693.1425,-39650.0724,047-355-9061,
明海南小学校,明海五丁目5番1号,8248.5908,-40034.68045,047-382-1751,
高洲北小学校,高洲二丁目2番1号,7029.754849,-40056.49889,047-381-8303,
東野小学校,東野一丁目7番3号,6156.508068,-38708.04729,047-304-1801,
浦安中学校,海楽二丁目36番1号,6675.1155,-37546.013,047-351-2686,
堀江中学校,富士見二丁目19番1号,5072.8768,-38750.69335,047-352-7272,
見明川中学校,弁天三丁目1番1号,5754.6239,-40126.7543,047-353-7768,
入船中学校,入船三丁目66番3号,7284.3857,-39414.1865,047-353-8502,
富岡中学校,富岡一丁目23番1号,6430.54,-38910.1272,047-352-8477　,
美浜中学校,美浜五丁目12番2号,7485.1836,-38137.4272,047-354-1199,
日の出中学校,日の出三丁目1番2号,8467.6986,-39219.9671,047-380-7100,
明海中学校,明海五丁目5番1号,8248.5908,-40032.68045,047-382-1401,
高洲中学校,高洲7-3-1,7543.917598,-40726.28941,047-712-5533,
県立浦安高等学校,海楽二丁目36番2号,6773.8366,-37632.4042,047-351-2135,
県立浦安南高等学校,高洲九丁目4番1号,7602.8181,-41035.7816,047-352-7621,
東海大学付属浦安中学校,東野三丁目11番1号,5359.575067,-39320.3581,047-351-2371,
東京学館浦安中学校,高洲一丁目23番1号,7222.4573,-39983.7634,047-353-8821,
東海大学付属浦安高等学校,東野三丁目11番1号,5359.575067,-39318.3581,047-351-2371,
東京学館浦安高等学校,高洲一丁目23番1号,7222.4573,-39981.7634,047-353-8821,
明海大学,明海一丁目2番1号,7921.5349,-39483.9875,047-355-5111,
順天堂大学医療看護学部,高洲二丁目5番1号,6845.1582,-40340.931,047-355-3111,
了徳寺大学,明海五丁目8番1号,8413.5662,-40126.2359,047-382-2111,
