名称,住所,X,Y,電話,備考
当代島保育園,当代島一丁目25番27号,5090.5245,-36991.6383,047-352-1866,
猫実保育園,北栄三丁目31番14号,5874.2179,-37099.2472,047-353-2152,
入船保育園,入船六丁目9番1号,7545.897,-38837.531,047-353-6992,
富岡保育園,富岡三丁目1番6号,6257.5215,-39711.2661,047-351-5335,
東野保育園,東野一丁目7番2号,6109.8147,-38701.562,047-350-4321,
日の出保育園,日の出二丁目11番1号,8104.0796,-39031.9089,047-380-0880,
高洲保育園,高洲二丁目3番4号,6994.7588,-40122.6095,047-305-1313,
海園の街保育園,明海三丁目2番12号,7934.1264,-39969.7087,047-316-8688,
弁天保育園,弁天一丁目1番28号,5843.9086,-39605.1743,047-316-8841,
浦安駅前保育園,猫実四丁目19番24号,5345.647846,-37271.91762,047-381-7802,
ふたば保育園,北栄四丁目1番16号,6487.294807,-37739.11316,047-723-2828,
入船北保育園,入船四丁目34番1号,7877.2685,-38560.3345,047-316-6665,
若草幼稚園,猫実四丁目6番12号,5571.4415,-37280.0617,047-351-2950,
青葉幼稚園,当代島三丁目12番1号,5223.1028,-36406.1881,047-351-2688,
みなみ幼稚園,堀江五丁目4番2号,5317.6772,-38360.4366,047-351-8803,
神明幼稚園,猫実一丁目18番43号,6334.8216,-38011.6035,047-351-4844,
北部幼稚園,北栄三丁目20番2号,5996.3183,-37058.0225,047-351-3010,
見明川幼稚園,弁天三丁目1番3号,5551.6243,-40047.7371,047-352-8880,
堀江幼稚園,堀江四丁目34番6号,5159.6168,-37775.8256,047-353-2151,
富岡幼稚園,富岡一丁目1番2号,6369.8383,-39052.7496,047-353-2359,
美浜南幼稚園,美浜三丁目15番2号,6643.3187,-38692.553,047-353-7766,
入船南幼稚園,入船三丁目66番2号,7241.9545,-39216.1778,047-353-8501,
舞浜幼稚園,舞浜二丁目1番2号,4643.1333,-39814.6601,047-353-0110,
美浜北幼稚園,美浜五丁目12番3号,7393.7909,-38338.4383,047-352-3694,
日の出幼稚園,日の出二丁目15番1号,8308.9484,-39103.7684,047-355-6333,
明海幼稚園,明海二丁目13番3号,7670.7196,-39763.2747,047-380-8800,
みのり保育園,猫実二丁目4番7号,6027.2795,-37943.6612,047-351-5993,
しおかぜ保育園,富士見四丁目12番15号,5212.201128,-39265.04072,047-306-5501,
ポピンズナーサリースクール新浦安,入船一丁目2番1号,7282.43654,-38804.9928,047-304-2101,新浦安駅前プラザマーレ内
愛和元町保育園,堀江五丁目20番11号,5146.016662,-38102.92827,047-353-5410,
たかし保育園新浦安,入船五丁目46番1号,7547.884137,-38462.26381,047-353-5151,
アスク舞浜保育園,富士見五丁目24番5号,4972.5671,-39856.8428,047-306-2300,
新浦安こどもの木保育園,美浜三丁目25番18号,6841.2202,-38674.1766,047-306-5020,
浦安幼稚園,富岡三丁目3番1号,6250.7562,-39631.427,047-354-1266,
吹上幼稚園,富士見五丁目10番1号,5119.4846,-39599.88415,047-351-9121,
暁星国際学園新浦安幼稚園,高洲四丁目2番20号,7565.6767,-40511.8061,047-304-1152,
聖徳大学附属浦安幼稚園,日の出五丁目4番2号,8676.1063,-39727.1674,047-721-8181,
渋谷教育学園浦安幼稚園,高洲二丁目3番1号,6949.606698,-40094.24057,047-304-1221,
