名称,住所,X,Y,電話,備考
社会福祉協議会,東野一丁目7番1号,6107.5004,-38787.2607,047-355-5271,総合福祉センター内
ボランティアセンター,東野一丁目7番1号,6107.5004,-38785.2607,047-380-8864,総合福祉センター内
地域福祉センター,東野一丁目7番1号,6107.5004,-38783.2607,,総合福祉センター内
身体障がい者福祉センター,東野一丁目7番1号,6107.5004,-38781.2607,047-355-2734,総合福祉センター内
障がい者福祉センター,東野一丁目8番2号,6150.4659,-38849.6456,047-350-8770,
ソーシャルサポートセンター,東野一丁目9番4号,6102.0057,-38855.3278,047-353-2130 　,
障がい者等一時ケアセンター,東野一丁目8番2号,6150.4659,-38847.6456,047-350-8771,
ワークステーション,千鳥15番地5,5856.469,-42394.6406,047-304-6200,
老人福祉センター（Uセンター）,東野一丁目9番1号,6027.364787,-38823.72575,047-351-2096 　,
猫実地域包括支援センター,猫実一丁目2番5号,6107.4391,-38338.0345,047-381-9037,健康センター地下1階
新浦安駅前地域包括支援センター,入船一丁目2番1号,7282.43654,-38804.9928,047-306-5171・5172,新浦安駅前プラザマーレ内
高洲在宅介護支援センター,高洲九丁目3番1号,7795.609295,-40937.71839,047-382-2424,特別養護老人ホーム内
東京ベイ浦安在宅介護支援センター,当代島三丁目4番32号,5458.2971,-36432.6524,047-351-3101,
コミュニケア24浦安在宅介護支援センター,富士見二丁目21番36号,4937.199157,-38746.36112,047-381-6521,
特別養護老人ホーム,高洲九丁目3番1号,7795.609295,-40935.71839,047-382-2424,
ケアハウス,高洲九丁目3番1号,7795.609295,-40933.71839,047-382-2943,特別養護老人ホーム内
猫実高齢者デイサービスセンター,猫実一丁目2番5号,6107.4391,-38336.0345,047-304-8858,健康センター内
高洲高齢者デイサービスセンター,高洲九丁目3番1号,7795.609295,-40931.71839,047-381-7803,
浦安駅前高齢者デイサービスセンター,猫実四丁目19番24号 ,5345.647846,-37271.91762,047-355-4001,
シルバー人材センター,猫実二丁目12番7号,6109.2266,-37718.1577,047-355-4001,
健康センター,猫実一丁目2番5号,6107.4391,-38334.0345,,
急病診療所,猫実一丁目2番5号,6107.4391,-38332.0345,047-381-9999,健康センター1階
休日救急歯科診療所,猫実一丁目2番5号,6107.4391,-38330.0345,047-381-4749,健康センター2階
子育て支援センター,猫実一丁目12番38号,6362.5989,-38114.2005, 047-351-1176,
こども発達センター,東野一丁目7番1号,6107.5004,-38779.2607, 047-355-1124,総合福祉センター内
こども家庭支援センター,東野一丁目7番1号,6107.5004,-38777.2607, 047-350-7867,総合福祉センター内
東野児童センター,東野一丁目7番1号,6107.5004,-38775.2607, 047-355-2736,総合福祉センター内
高洲児童センター,高洲五丁目3番2号,7632.596217,-40315.37683, 047-304-0315,地域交流プラザエスレ高洲内
少年の広場,今川三丁目12番 ,6532.5252,-40001.5359,,
青少年交流活動センター（うら・らめーる）,日の出七丁目2番1号,8873.3955,-40166.823,047-316-5777,
新浦安カルチャープラザ,入船一丁目2番1号,7282.43654,-38802.9928,047-355-7311,新浦安駅前プラザマーレ３Ｆ
青少年館,猫実一丁目12番38号,6362.5989,-38112.2005, 047-700-6203,集合事務所１・２階
北部小学校地区児童育成クラブ,北栄三丁目20番3号,6033.441795,-37032.04933,047-351-1782,
北部小学校地区児童育成クラブ分室,北栄三丁目20番3号,6033.441795,-37030.04933,047-351-1782,
南小学校地区児童育成クラブ,堀江五丁目4番1号,5308.2143,-38269.3795,047-352-1697,
南小学校地区児童育成クラブ分室,堀江二丁目23番21号,5355.441531,-38082.88477,047-350-3415,
見明川小学校地区児童育成クラブ,弁天三丁目1番2号,5646.7047,-40018.2933,047-351-1633,
入船北小学校地区児童育成クラブ,入船六丁目9番2号,7573.4352,-38822.0161,047-354-0466,
入船南小学校地区児童育成クラブ,入船三丁目66番1号,7205.802652,-39340.24752,047-352-1415,
舞浜小学校地区児童育成クラブ,舞浜二丁目1番1号,4733.529,-39731.8292,047-352-3615,
東小学校地区児童育成クラブ,猫実一丁目11番1号,6265.0231,-38131.5875,047-350-4424,
東小学校地区児童育成クラブ北栄分室,北栄四丁目1番17号,6475.196244,-37767.62372,047-382-2324,
日の出小学校地区児童育成クラブ,日の出二丁目11番10号,8133.3034,-39074.9046,047-380-0666,
日の出南小学校地区児童育成クラブ,日の出五丁目4番3号,8724.4139,-39724.8391,047-305-1345,
明海小学校地区児童育成クラブ,明海二丁目13番1号,7738.2996,-39761.5851,047-305-0220,
明海南小学校地区児童育成クラブ,明海五丁目5番1号,8248.5908,-40034.68045,047-382-2901,
浦安小学校地区児童育成クラブ,猫実四丁目9番1号,5508.0317,-37307.5037,047-351-1990,
富岡小学校地区児童育成クラブ,富岡一丁目1番1号,6499.0952,-38966.4412,047-352-7400,
東野小学校地区児童育成クラブ,東野一丁目7番3号,6156.508068,-38708.04729,047-304-1880,
美浜南小学校地区児童育成クラブ,美浜三丁目15番1号,6750.39,-38690.42,047-350-6624,
美浜北小学校地区児童育成クラブ,美浜五丁目12番1号,7398.6362,-38243.9196,047-351-6050,
高洲小学校地区児童育成クラブ,高洲四丁目2番8号,7642.5509,-40440.9855,047-351-1015,
高洲小学校地区児童育成クラブ分室,高洲四丁目2番8号,7642.5509,-40438.9855,047-351-1015,
高洲北小学校地区児童育成クラブ,高洲二丁目5番2号,6882.5228,-40319.2751,047-381-5201,
